job_id,model_alias,n_agents,rounds,task,num_param,num_value,random_seed,personas_tuple
1,vllm-qwen3-0.6b,2,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
2,vllm-qwen3-0.6b,3,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
3,vllm-qwen3-0.6b,4,2,biography,num_people,40,1,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
4,vllm-qwen3-0.6b,5,2,biography,num_people,40,1,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
5,vllm-qwen3-0.6b,6,2,biography,num_people,40,1,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
6,vllm-qwen3-0.6b,7,2,biography,num_people,40,1,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
7,vllm-vibethinker,2,2,biography,num_people,40,1,"('a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
8,vllm-vibethinker,3,2,biography,num_people,40,1,"('a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
9,vllm-vibethinker,4,2,biography,num_people,40,1,"('an early 20th-century urban planner focused on maximizing geometric efficiency and transit flow', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
10,vllm-vibethinker,5,2,biography,num_people,40,1,"('a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
11,vllm-vibethinker,6,2,biography,num_people,40,1,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
12,vllm-vibethinker,7,2,biography,num_people,40,1,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
13,vllm-deepseek,2,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
14,vllm-deepseek,3,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
15,vllm-deepseek,4,2,biography,num_people,40,1,"('a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death')"
16,vllm-deepseek,5,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death')"
17,vllm-deepseek,6,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units')"
