task,model_name,num_agents,num_rounds,avg_accuracy,std_accuracy
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,1,3,0.33,0.47021271782034985
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,1,5,0.29,0.4537620521815371
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,1,7,0.29,0.45376205218153703
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,2,3,0.3,0.45825756949558394
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,2,5,0.3,0.45825756949558394
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,2,7,0.26,0.4386342439892262
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,3,3,0.37,0.4828043081829324
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,4,3,0.32,0.46647615158762396
math,DeepSeek-R1-Distill-Qwen-1.5B-mlx-fp16,4,5,0.28125,0.4496092053105675
math,Meta-Llama-3.1-8B-Instruct-8bit,1,3,0.85,0.3570714214271425
math,Meta-Llama-3.1-8B-Instruct-8bit,2,3,0.97,0.17058722109231983
math,Meta-Llama-3.1-8B-Instruct-8bit,3,3,0.97,0.17058722109231983
math,Meta-Llama-3.1-8B-Instruct-8bit,5,3,0.94,0.23748684174075835
