task,model_name,num_agents,num_rounds,num_personas,personas_str,avg_accuracy,std_accuracy,num_problems,filename,n_agents,maxmin_score,maxdet_volume
math,Llama-3.2-3B-Instruct-8bit,7,3,7,radical+kantian+soviet-era+zen+deep-sea+cosmic+renaissance,0.45,0.49749371855331004,20.0,math_Llama-3.2-3B_persona_radical+kantian+soviet-era+zen+deep-sea+cosmic+renaissance_agents7_rounds3.p,,,
math,Mistral-7B-Instruct-v0.3,3,3,3,kantian+deep-sea+expert,0.1,0.30000000000000004,20.0,math_Mistral-7B-Instruct-v0.3_persona_kantian+deep-sea+expert_agents3_rounds3.p,3.0,0.481483246018635,0.5275208866006768
math,Mistral-7B-Instruct-v0.3,5,3,5,kantian+gothic+deep-sea+resource+expert,0.05,0.21794494717703364,20.0,math_Mistral-7B-Instruct-v0.3_persona_kantian+gothic+deep-sea+resource+expert_agents5_rounds3.p,5.0,0.4269970803122342,0.1580176072574367
math,Mistral-7B-Instruct-v0.3,7,3,7,kantian+gothic+zen+deep-sea+systems+expert+hermetic,0.1,0.30000000000000004,20.0,math_Mistral-7B-Instruct-v0.3_persona_kantian+gothic+zen+deep-sea+systems+expert+hermetic_agents7_rounds3.p,7.0,0.4081363638330123,0.0347527776768735
math,Qwen3-0.6B-MLX-8bit,3,3,3,kantian+deep-sea+renaissance,1.0,0.0,20.0,math_Qwen3-0.6B_persona_kantian+deep-sea+renaissance_agents3_rounds3.p,,,
math,Qwen3-0.6B-MLX-8bit,5,3,5,quantum+kantian+deep-sea+resource+renaissance,1.0,0.0,20.0,math_Qwen3-0.6B_persona_quantum+kantian+deep-sea+resource+renaissance_agents5_rounds3.p,,,
math,Qwen3-0.6B-MLX-8bit,7,3,7,quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance,1.0,0.0,20.0,math_Qwen3-0.6B_persona_quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance_agents7_rounds3.p,,,
math,Qwen3-14B-MLX-8bit,3,3,3,enigma+zen+deep-sea,1.0,0.0,2.0,math_Qwen3-14B_persona_enigma+zen+deep-sea_agents3_rounds3.p,,,
math,VibeThinker-1.5B-mlx-8Bit,5,3,5,forensic+stand-up+renaissance+drone+hermetic,1.0,0.0,20.0,math_VibeThinker-1.5B_persona_forensic+stand-up+renaissance+drone+hermetic_agents5_rounds3.p,,,
math,VibeThinker-1.5B-mlx-8Bit,7,3,7,radical+enigma+forensic+stand-up+expert+renaissance+hermetic,1.0,0.0,20.0,math_VibeThinker-1.5B_persona_radical+enigma+forensic+stand-up+expert+renaissance+hermetic_agents7_rounds3.p,,,
