model,params_b,framework,n_agents,persona_version,maxmin_personas,maxmin_indices,maxmin_score,maxdet_personas,maxdet_indices,maxdet_volume,intersection_count
Qwen3-0.6B,0.6,vllm,2,v1,"('a compassionate mediator who considers emotional and human impacts', 'an adventurous experimenter eager to explore new territory')","(15, 33)",0.1606823571101006,"('a compassionate mediator who considers emotional and human impacts', 'an adventurous experimenter eager to explore new territory')","(15, 33)",0.2955458943337421,2
Qwen3-0.6B,0.6,vllm,2,v2,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')","(13, 30)",0.26590014269010553,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')","(13, 30)",0.46109739949759326,2
Qwen3-0.6B,0.6,vllm,3,v1,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a compassionate mediator who considers emotional and human impacts')","(3, 13, 15)",0.133097513984328,"('a compassionate mediator who considers emotional and human impacts', 'an adventurous experimenter eager to explore new territory', 'a patient deliberator who takes time to form well-reasoned views')","(15, 33, 39)",0.055033136635958275,1
Qwen3-0.6B,0.6,vllm,3,v2,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(13, 30, 38)",0.2297078776382352,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(13, 30, 38)",0.15203536531085785,3
Qwen3-0.6B,0.6,vllm,4,v1,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a compassionate mediator who considers emotional and human impacts', 'an adventurous experimenter eager to explore new territory')","(3, 13, 15, 33)",0.124340078146569,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a compassionate mediator who considers emotional and human impacts', 'an adventurous experimenter eager to explore new territory')","(3, 13, 15, 33)",0.008798086379526207,4
Qwen3-0.6B,0.6,vllm,4,v2,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(10, 30, 37, 38)",0.1998984554499389,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(7, 13, 30, 38)",0.037541144758430886,2
Qwen3-0.6B,0.6,vllm,5,v1,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a compassionate mediator who considers emotional and human impacts', 'an assertive leader who drives discussions forward decisively', 'an adventurous experimenter eager to explore new territory')","(3, 13, 15, 32, 33)",0.12014530600111362,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a compassionate mediator who considers emotional and human impacts', 'an assertive leader who drives discussions forward decisively', 'an adventurous experimenter eager to explore new territory')","(3, 13, 15, 32, 33)",0.0013079632314128133,5
Qwen3-0.6B,0.6,vllm,5,v2,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(7, 16, 28, 30, 38)",0.18430040463491937,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(7, 13, 30, 35, 38)",0.008333471165230203,3
Qwen3-0.6B,0.6,vllm,6,v1,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a visionary leader who focuses on long-term implications', 'an adventurous experimenter eager to explore new territory', 'a patient deliberator who takes time to form well-reasoned views', 'an impartial judge who weighs all sides fairly')","(3, 13, 21, 33, 39, 45)",0.10904301788515913,"('a thorough investigator who leaves no stone unturned', 'a lateral thinker who makes unexpected connections', 'a compassionate mediator who considers emotional and human impacts', 'an assertive leader who drives discussions forward decisively', 'an adventurous experimenter eager to explore new territory', 'a patient deliberator who takes time to form well-reasoned views')","(3, 13, 15, 32, 33, 39)",0.0001740037295417057,4
Qwen3-0.6B,0.6,vllm,6,v2,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"", 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(7, 13, 30, 35, 36, 38)",0.17947715127816155,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')","(7, 13, 28, 30, 35, 38)",0.001759607987666023,5
