job_id,model_alias,n_agents,rounds,task,num_param,num_value,random_seed,personas_tuple
1,vllm-qwen3-0.6b,2,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
2,vllm-qwen3-0.6b,3,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
3,vllm-qwen3-0.6b,4,3,math,num_problems,100,0,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
4,vllm-qwen3-0.6b,5,3,math,num_problems,100,0,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
5,vllm-qwen3-0.6b,6,3,math,num_problems,100,0,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
6,vllm-qwen3-0.6b,7,3,math,num_problems,100,0,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
7,vllm-vibethinker,2,3,math,num_problems,100,0,"('a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
8,vllm-vibethinker,3,3,math,num_problems,100,0,"('a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
9,vllm-vibethinker,4,3,math,num_problems,100,0,"('an early 20th-century urban planner focused on maximizing geometric efficiency and transit flow', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
10,vllm-vibethinker,5,3,math,num_problems,100,0,"('a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
