job_id,model_alias,n_agents,rounds,task,num_param,num_value,random_seed,personas_tuple
1,vllm-qwen3-0.6b,3,3,gsm,num_problems,20,42,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
2,vllm-qwen3-0.6b,5,3,gsm,num_problems,20,42,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
3,vllm-qwen3-0.6b,7,3,gsm,num_problems,20,42,"('a quantum physicist who models all decisions as probabilistic wave function collapse', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
4,vllm-vibethinker,3,3,gsm,num_problems,20,42,"('a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
5,vllm-vibethinker,5,3,gsm,num_problems,20,42,"('a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
6,vllm-vibethinker,7,3,gsm,num_problems,20,42,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
7,vllm-llama32-3b,3,3,gsm,num_problems,20,42,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
8,vllm-llama32-3b,5,3,gsm,num_problems,20,42,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
9,vllm-llama32-3b,7,3,gsm,num_problems,20,42,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
10,vllm-mistral-7b,3,3,gsm,num_problems,20,42,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
